numObj,x,y,z,velocity,x_static,y_static,z_static,velocity_static,timestamp
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87069, 2.50315]","[-0.103099, -0.147285]","[0, 0]",28/06/2025 12:40:00
2,"[6.05056, 6.12091]","[-0.0351353, 0]","[0.474326, 0.292948]","[0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:01
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87069, 2.50315]","[-0.103099, -0.147285]","[0, 0]",28/06/2025 12:40:02
3,"[6.05056, 5.9802, 6.05056]","[-0.0345763, 0, -0.0354094]","[0.441813, 0.476486, 0.489178]","[0, 0.147187, 0.147187]","[]","[]","[]","[]",28/06/2025 12:40:03
5,"[5.9802, 6.05056, 5.9802, 6.05056, 6.12091]","[-0.0343059, -0.0350551, -0.0348361, -0.0355693, -0.0358217]","[0.424851, 0.469848, 0.457319, 0.497554, 0.510371]","[0, 0, 0.147187, 0.147187, 0.147187]","[]","[]","[]","[]",28/06/2025 12:40:04
7,"[6.05056, 6.12091, 6.19127, 6.26163, 6.12091, 6.19127, 6.26163]","[-0.0340694, -0.0685536, -0.0678716, -0.0673564, -0.0332822, -0.0331679, -0.0657267]","[0.409245, 0.421662, 0.398707, 0.380168, 0.350756, 0.341212, 0.312422]","[0, 0, 0, 0, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:05
1,"[6.19127]","[-0.0336929]","[0.382668]","[0.147187]","[]","[]","[]","[]",28/06/2025 12:40:06
9,"[6.05056, 6.12091, 6.05056, 6.12091, 6.19127, 6.05056, 6.12091, 6.19127, 6.19127]","[0.0333399, 0.0338236, 0, 0, 0, 0, 0, 0, -0.0338028]","[0.355449, 0.392157, 0.380483, 0.392926, 0.472044, 0.409205, 0.42212, 0.477875, 0.390668]","[0, 0, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:07
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87353, 2.50315]","[0, -0.147285]","[0, 0]",28/06/2025 12:40:08
2,"[6.12091, 6.19127]","[-0.0328515, 0]","[0.312978, 0.294412]","[-0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:09
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87353, 2.50315]","[0, -0.147285]","[0, 0]",28/06/2025 12:40:10
2,"[6.05056, 6.12091]","[-0.035463, -0.0343433]","[0.492009, 0.427246]","[-0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:11
4,"[6.19127, 6.05056, 6.12091, 6.19127]","[-0.0704, -0.0335813, -0.0340609, -0.034564]","[0.476692, 0.374332, 0.408668, 0.441058]","[0, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:12
2,"[6.12091, 6.19127]","[-0.0345783, -0.0362882]","[0.441932, 0.532872]","[-0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:13
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87069, 2.50315]","[-0.103099, -0.147285]","[0, 0]",28/06/2025 12:40:14
5,"[6.12091, 6.19127, 6.05056, 6.12091, 6.19127]","[-0.0352826, -0.0351362, 0, 0, -0.0339272]","[0.482388, 0.474371, 0.481202, 0.503958, 0.399472]","[0, 0, 0.147187, 0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:15
2,"[6.05056, 6.05056]","[0, 0]","[0.413758, 0.514314]","[0, 0.147187]","[]","[]","[]","[]",28/06/2025 12:40:16
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87353, 2.50315]","[0, -0.147285]","[0, 0]",28/06/2025 12:40:17
2,"[6.05056, 6.12091]","[0, 0.0330176]","[0.298276, 0.328158]","[-0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:18
5,"[6.05056, 6.12091, 2.0403, 6.05056, 6.12091]","[-0.0350902, -0.0353463, 0.285165, -0.0341063, -0.0345204]","[0.471813, 0.485816, 0.0216762, 0.411727, 0.438377]","[0, 0, -0.294373, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:19
1,"[6.12091]","[0.033358]","[0.356914]","[-0.147187]","[]","[]","[]","[]",28/06/2025 12:40:20
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87353, 2.50315]","[0, -0.147285]","[0, 0]",28/06/2025 12:40:21
1,"[6.12091]","[-0.0340717]","[0.409394]","[0.147187]","[]","[]","[]","[]",28/06/2025 12:40:22
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87069, 2.50315]","[-0.103099, -0.147285]","[0, 0]",28/06/2025 12:40:23
10,"[6.05056, 6.12091, 6.12091, 6.19127, 6.19127, 6.26163, 6.12091, 6.19127, 6.05056, 6.12091]","[0, 0, 0.0346396, 0.0350593, 0.0350579, 0.0702705, -0.070101, -0.0679207, -0.0346239, -0.0362412]","[0.438289, 0.462527, 0.445658, 0.470083, 0.470005, 0.473117, 0.468379, 0.400418, 0.44471, 0.53067]","[0, 0, 0.147187, 0.147187, 0.294373, 0.294373, -0.294373, -0.294373, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:24
4,"[6.12091, 6.12091, 6.05056, 6.12091]","[0, -0.0339615, -0.0706435, -0.0943484]","[0.274194, 0.401858, 0.483314, 0.098694]","[0, 0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:25
2,"[6.12091, 6.12091]","[0, -0.0337707]","[0.385, 0.388354]","[0, 0.147187]","[]","[]","[]","[]",28/06/2025 12:40:26
4,"[6.05056, 6.05056, 6.12091, 6.12091]","[0, 0, 0.0331361, -0.468504]","[0.364514, 0.373426, 0.338502, -0.705536]","[0, 0.147187, 0.147187, 0.147187]","[]","[]","[]","[]",28/06/2025 12:40:27
2,"[6.12091, 6.19127]","[0.0333934, 0.0676097]","[0.35974, 0.389422]","[-0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:28
4,"[6.12091, 6.05056, 6.12091, 6.19127]","[0, -0.0330643, -0.0332776, -0.0336292]","[0.40218, 0.332285, 0.350374, 0.377941]","[0.147187, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:29
3,"[6.12091, 6.19127, 6.12091]","[-0.0336991, -0.0340678, -0.0330298]","[0.38313, 0.409131, 0.329247]","[0.147187, 0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:30
2,"[6.05056, 6.12091]","[0, 0]","[0.417625, 0.364365]","[0.147187, 0.147187]","[]","[]","[]","[]",28/06/2025 12:40:31
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87069, 2.50315]","[-0.103099, -0.147285]","[0, 0]",28/06/2025 12:40:32
2,"[6.26163, 6.12091]","[0.0320879, 0]","[0.228285, 0.396471]","[-0.735933, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:33
1,"[6.05056]","[0]","[0.45174]","[0.147187]","[]","[]","[]","[]",28/06/2025 12:40:34
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87353, 2.50315]","[0, -0.147285]","[0, 0]",28/06/2025 12:40:35
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87353, 2.50315]","[0, -0.147285]","[0, 0]",28/06/2025 12:40:36
10,"[6.05056, 6.12091, 6.19127, 6.26163, 6.12091, 6.19127, 6.05056, 6.12091, 6.19127, 6.26163]","[0, 0, 0, -0.0336174, 0, 0, 0, 0, 0, -0.0332499]","[0.220045, 0.132532, 0.231728, 0.377056, 0.0826232, 0.175777, 0.179146, 0.110269, 0.204931, 0.348092]","[0, 0, 0, 0, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:37
1,"[6.12091]","[-0.0339397]","[0.40034]","[0.147187]","[]","[]","[]","[]",28/06/2025 12:40:38
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87069, 2.50315]","[-0.103099, -0.147285]","[0, 0]",28/06/2025 12:40:39
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87353, 2.50315]","[0, -0.147285]","[0, 0]",28/06/2025 12:40:40
1,"[6.05056]","[-0.0323136]","[0.25662]","[0.147187]","[]","[]","[]","[]",28/06/2025 12:40:41
4,"[6.05056, 5.9802, 6.05056, 6.12091]","[0, -0.034052, 0, 0]","[0.482623, 0.408065, 0.430259, 0.462947]","[0, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:42
8,"[5.9802, 6.05056, 1.89959, 5.9802, 6.05056, 5.9802, 6.05056, 6.12091]","[0, 0, 0.285302, 0, 0, 0, 0, 0]","[0.40797, 0.423863, 0.0374293, 0.360046, 0.387143, 0.368696, 0.394588, 0.456825]","[0, 0, 1.03031, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:43
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87353, 2.50315]","[0, -0.147285]","[0, 0]",28/06/2025 12:40:44
2,"[5.9802, 6.05056]","[-0.0346303, -0.0350227]","[0.445093, 0.468025]","[-0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:45
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87353, 2.50315]","[0, -0.147285]","[0, 0]",28/06/2025 12:40:46
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87353, 2.50315]","[0, -0.147285]","[0, 0]",28/06/2025 12:40:47
2,"[5.9802, 6.05056]","[0, 0]","[0.477868, 0.48886]","[-0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:48
5,"[5.9802, 6.05056, 6.05056, 5.9802, 5.9802]","[0, -0.0362619, 0, 0, 0]","[0.496334, 0.531642, 0.399449, 0.4782, 0.542267]","[0, 0, 0.147187, -0.294373, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:49
4,"[5.9802, 6.05056, 5.9802, 6.05056]","[0, 0, 0, 0]","[0.434585, 0.439159, 0.473764, 0.47269]","[0, 0, 0.147187, 0.147187]","[]","[]","[]","[]",28/06/2025 12:40:50
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87069, 2.50315]","[-0.103099, -0.147285]","[0, 0]",28/06/2025 12:40:51
8,"[5.9802, 6.05056, 6.12091, 5.9802, 6.05056, 6.12091, 5.9802, 6.05056]","[0.0337562, 0.0340858, 0.0344891, 0, 0.034484, 0.0347463, 0, 0]","[0.387301, 0.41035, 0.436437, 0.401399, 0.436121, 0.452043, 0.447833, 0.475127]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373]","[]","[]","[]","[]",28/06/2025 12:40:52
10,"[5.9802, 6.05056, 6.12091, 5.9802, 6.05056, 6.12091, 2.25137, 5.9802, 6.05056, 6.12091]","[0, 0, 0, 0, 0, 0, 0.350988, 0, 0, 0]","[0.236629, 0.248231, 0.272589, 0.265286, 0.25796, 0.237119, 0.0210119, 0.297543, 0.30809, 0.283319]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373]","[]","[]","[]","[]",28/06/2025 12:40:53
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87353, 2.50315]","[0, -0.147285]","[0, 0]",28/06/2025 12:40:54
13,"[6.05056, 6.12091, 6.12091, 6.05056, 6.12091, 6.12091, 6.19127, 6.19127, 6.05056, 6.12091, 6.19127, 6.19127, 6.05056]","[-0.0341286, 0, -0.509328, 0.0326016, 0.0335634, -0.453549, 0, -0.443171, 0, 0.0341007, 0.0339219, -0.426752, -0.0354539]","[0.413218, 0.399626, -0.693385, 0.288355, 0.372975, -0.668853, 0.370737, -0.640756, 0.388536, 0.41135, 0.399099, -0.590826, 0.491532]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:55
2,"[6.12091, 6.19127]","[-0.0690303, -0.0692717]","[0.436777, 0.444172]","[-0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:56
12,"[6.05056, 6.12091, 6.19127, 6.05056, 6.12091, 6.19127, 6.05056, 6.12091, 6.19127, 6.05056, 6.12091, 6.19127]","[0, 0, 0.0328315, -0.0327281, -0.0322452, 0, -0.0326398, -0.0325973, 0, 0.066916, 0.0673764, 0.0671976]","[0.316814, 0.317309, 0.311089, 0.301113, 0.248406, 0.252936, 0.292275, 0.287915, 0.317555, 0.363371, 0.38091, 0.37422]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:57
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87353, 2.50315]","[0, -0.147285]","[0, 0]",28/06/2025 12:40:58
9,"[5.9802, 6.05056, 6.12091, 5.9802, 6.05056, 6.05056, 6.12091, 6.05056, 6.12091]","[0, 0.0327841, 0.0319986, -0.0355909, 0.0667864, -0.413171, 0.1001, 0.0657957, 0.0656855]","[0.400004, 0.306558, 0.215962, 0.49867, 0.35824, -0.678841, 0.353611, 0.315648, 0.310476]","[0, 0, 0, 0.147187, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:59
11,"[6.12091, 6.19127, 6.12091, 6.19127, 6.26163, 6.33198, 6.19127, 6.26163, 6.33198, 6.12091, 6.19127]","[-0.0690117, -0.0696297, -0.0683625, -0.0680511, -0.0685524, -0.0356653, -0.0675841, -0.0338718, 0, -0.0318444, -0.031704]","[0.436203, 0.45484, 0.415396, 0.404912, 0.421624, 0.502486, 0.388499, 0.395585, 0.45142, 0.192644, 0.168448]","[0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:41:01
10,"[6.12091, 6.19127, 6.26163, 6.12091, 6.19127, 6.26163, 6.05056, 6.12091, 6.19127, 6.26163]","[0.0669405, 0.0673652, 0.0678895, 0.0664609, 0.0664913, 0.101573, 0.0678995, 0.0673021, 0.067469, 0.0682247]","[0.364331, 0.380495, 0.39933, 0.344941, 0.346211, 0.390886, 0.399678, 0.378148, 0.384318, 0.410799]","[0, 0, 0, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:41:02
1,"[6.12091]","[0]","[0.356304]","[-0.147187]","[]","[]","[]","[]",28/06/2025 12:41:03
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87069, 2.50315]","[-0.103099, -0.147285]","[0, 0]",28/06/2025 12:41:04
4,"[6.05056, 6.12091, 6.05056, 6.12091]","[0, -0.0338923, 0, 0]","[0.417773, 0.397026, 0.395573, 0.377253]","[0, 0, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:41:05
4,"[6.05056, 1.96995, 5.9802, 6.05056]","[-0.0353533, 0.285369, 0, 0]","[0.486194, 0.0430921, 0.405469, 0.414235]","[0.147187, -0.294373, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:41:06
5,"[6.12091, 6.19127, 6.05056, 6.12091, 6.19127]","[0, 0.0382423, -0.0362459, 0, 0]","[0.527184, 0.613988, 0.530893, 0.556616, 0.622994]","[0, 0, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:41:07
3,"[6.05056, 6.12091, 6.12091]","[-0.0343362, -0.0335661, -0.0341555]","[0.426798, 0.373176, 0.415011]","[0, 0, 0.147187]","[]","[]","[]","[]",28/06/2025 12:41:08
8,"[5.9802, 6.05056, 6.12091, 6.05056, 5.9802, 6.05056, 6.12091, 6.19127]","[0, 0, 0.0348936, 0, 0, 0, 0.0339615, 0.102935]","[0.351098, 0.371975, 0.460653, 0.296793, 0.318817, 0.340816, 0.401859, 0.421735]","[0, 0, 0, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:41:09
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87069, 2.50315]","[-0.103099, -0.147285]","[0, 0]",28/06/2025 12:41:10
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87069, 2.50315]","[-0.103099, -0.147285]","[0, 0]",28/06/2025 12:41:11
1,"[6.05056]","[-0.0688195]","[0.430183]","[-0.147187]","[]","[]","[]","[]",28/06/2025 12:41:12
2,"[6.19127, 6.26163]","[-0.0686695, -0.0697236]","[0.425404, 0.457582]","[0.147187, 0.147187]","[]","[]","[]","[]",28/06/2025 12:41:13
2,"[5.9802, 6.05056]","[0, -0.0325657]","[0.392948, 0.28462]","[0.147187, 0.147187]","[]","[]","[]","[]",28/06/2025 12:41:14
