numObj,x,y,z,timestamp
25,"[4.15097, 4.22132, 4.29168, 4.36203, 4.43239, 6.33198, 4.15097, 4.22132, 4.29168, 4.36203, 4.43239, 4.15097, 4.22132, 4.29168, 4.36203, 4.50274, 4.50274, 6.26163, 6.33198, 6.40234, 4.5731, 4.64345, 6.26163, 6.33198, 6.40234]","[-0.032505, -0.0326249, -0.0320723, -0.0319663, -0.0320315, -0.168863, -0.0657257, -0.0659629, -0.063469, -0.0322911, -0.0323772, -0.0668361, -0.0677991, -0.0326658, -0.0329399, 0, 0, -0.164304, -0.164594, -0.16636, -0.0322867, 0, -0.165115, -0.166915, -0.170375]","[0.278169, 0.290755, 0.226193, 0.211298, 0.22059, 0.377148, 0.312372, 0.323306, 0.171124, 0.253948, 0.263994, 0.360217, 0.396165, 0.294908, 0.321166, 0.230858, 0.258757, 0.300216, 0.305803, 0.337528, 0.253424, 0.349865, 0.315562, 0.346795, 0.398752]",14/10/2024 19:45:37
21,"[4.01025, 4.08061, 4.22132, 4.29168, 4.01025, 4.08061, 4.15097, 4.22132, 4.29168, 4.36203, 4.36203, 4.85452, 4.92487, 4.01025, 4.08061, 4.22132, 4.29168, 4.85452, 4.92487, 6.26163, 6.33198]","[0, 0, -0.032703, 0, 0, 0, -0.111772, -0.0330567, 0, 0.917152, 0.183448, 0.600684, 0.599043, -0.0331173, 0, -0.0340382, -0.0341115, 0.609764, 0.602878, -0.164165, -0.166666]","[0.269032, 0.256788, 0.298627, 0.329022, 0.30048, 0.289482, 0.572571, 0.331613, 0.359612, -0.88947, 0.815879, 0.0979147, 0.0692652, 0.336891, 0.312144, 0.407126, 0.412074, 0.188778, 0.126286, 0.297497, 0.342685]",14/10/2024 19:45:38
18,"[4.50274, 4.71381, 4.78416, 4.43239, 4.50274, 4.5731, 4.64345, 4.71381, 4.78416, 4.36203, 4.43239, 4.50274, 4.64345, 4.71381, 4.78416, 4.43239, 4.99523, 4.99523]","[-0.168313, -0.0628358, -0.0633819, -0.201318, -0.168853, -0.168869, -0.0314442, -0.0629687, -0.063442, -0.197103, -0.202243, -0.205769, -0.0629252, -0.0629575, -0.0630397, -0.203744, -1.02865, -0.122511]","[0.368884, 0.0968891, 0.16299, 0.354891, 0.376995, 0.377241, 0.109704, 0.116569, 0.168643, 0.292703, 0.366879, 0.408598, 0.110526, 0.115048, 0.125814, 0.385346, -0.698033, -0.696402]",14/10/2024 19:45:39
18,"[4.43239, 4.50274, 4.5731, 4.64345, 4.71381, 4.78416, 4.43239, 4.50274, 4.5731, 4.64345, 4.71381, 4.78416, 4.50274, 4.5731, 4.64345, 4.71381, 4.50274, 4.5731]","[-0.227012, -0.228963, -0.197216, -0.234603, -0.233727, -0.0946836, -0.229546, -0.231364, -0.232555, -0.23792, -0.275703, -0.127491, -0.23461, -0.236778, -0.28031, -0.283776, -0.194515, -0.194465]","[0.237484, 0.26992, 0.294582, 0.345122, 0.33474, 0.129547, 0.278799, 0.304596, 0.320212, 0.38136, 0.40687, 0.183969, 0.345199, 0.369383, 0.442563, 0.467023, 0.2454, 0.244369]",14/10/2024 19:45:40
12,"[4.99523, 5.06558, 5.13594, 5.2063, 4.99523, 5.06558, 5.13594, 5.2063, 4.99523, 5.06558, 5.13594, 5.2063]","[-0.162051, -0.162037, -0.162227, -0.132288, -0.16332, -0.163032, -0.163054, -0.165466, -0.164483, -0.163777, -0.163514, -0.164495]","[0.251923, 0.251575, 0.256074, 0.324945, 0.280293, 0.274132, 0.2746, 0.321941, 0.30368, 0.289731, 0.284348, 0.303913]",14/10/2024 19:45:41
15,"[6.05056, 6.12091, 6.47269, 6.26163, 6.33198, 6.40234, 6.47269, 6.33198, 6.40234, 6.47269, 6.05056, 6.12091, 6.05056, 6.12091, 6.19127]","[-0.098687, -0.0983021, -0.227115, -0.2713, -0.269015, -0.26409, -0.227028, -0.304474, -0.264807, -0.226469, -0.0970829, -0.0964713, -0.0976062, -0.0973709, -0.0970693]","[0.312665, 0.300357, 0.239318, 0.368441, 0.346342, 0.29175, 0.237781, 0.353545, 0.30043, 0.227543, 0.256876, 0.231598, 0.276493, 0.267871, 0.256344]",14/10/2024 19:45:42
1,"[6.54305]","[-0.482043]","[0.337087]",14/10/2024 19:45:43
12,"[5.55807, 5.62843, 5.69878, 5.55807, 5.62843, 5.69878, 5.55807, 5.62843, 5.69878, 5.55807, 5.62843, 6.05056]","[-0.655214, -0.658223, -0.619008, -0.656554, -0.661815, -0.628272, -0.707345, -0.670304, -0.670246, -0.719674, -0.678336, -0.132403]","[0.226613, 0.242934, 0.24783, 0.234039, 0.260912, 0.294168, 0.277263, 0.298514, 0.298277, 0.323258, 0.329459, 0.327499]",14/10/2024 19:45:44
4,"[4.5731, 4.71381, 4.71381, 4.78416]","[-0.920926, -0.932125, -0.932999, -0.929541]","[0.193849, 0.232691, 0.235412, 0.224422]",14/10/2024 19:45:45
6,"[4.71381, 4.78416, 4.85452, 4.71381, 4.78416, 4.85452]","[-0.911025, -0.910304, -0.910897, -0.919672, -0.919521, -0.922617]","[0.150083, 0.146336, 0.14943, 0.188926, 0.188323, 0.200274]",14/10/2024 19:45:48
