;CreateTime;BeaconID;Channel;RSSI_1;RSSI_2;RSSI_3;RSSI_4;Azim_1;Azim_2;Azim_3;Azim_4;Elev_1;Elev_2;Elev_3;Elev_4;X_sylabs;Y_sylabs;Z_sylabs;X_real;Y_real;Z_real;Real_Dist_1;Real_Dist_2;Real_Dist_3;Real_Dist_4;Dest_RSSI_1;Dest_RSSI_2;Dest_RSSI_3;Dest_RSSI_4;X_est_MLT;Y_est_MLT;X_est_TRIG;Y_est_TRIG;X_est_TRIANG;Y_est_TRIANG;Dest_MLT_1;Dest_MLT_2;Dest_MLT_3;Dest_MLT_4;X_est_MLT_KF;Y_est_MLT_KF;X_est_TRIG_KF;Y_est_TRIG_KF;X_est_TRIANG_KF;Y_est_TRIANG_KF;X_est_FUSAO;Y_est_FUSAO
18;1728945246;c3a222aa-fd99-5903-4f68-a5e3e022c093;21;-77;-69;-68;-62;2.794539088;-1.912679365;0.491276788;-1.515464361;0.168245069;0.17136651;0.347935472;0.312648021;;;;-3.503;6.865;1.78;;;;;10.0724424;3.692262105;3.317641656;1.878125374;-4.507155175;3.723635508;-3.472697575;5.763228204;-3.375723065;7.188850147;5.399668941;4.325375022;4.296232478;1.337253257;-3.11649716;;-3.362875291;5.808388946;-3.361704122;7.201363589;-3.346908954;6.361733569
19;1728945247;f1af9660-014c-29e7-97aa-ad70d6fb7071;4;-61;-72;-81;-63;2.827751902;-1.92080467;0.506879983;-1.492292197;0.147524377;0.182370092;0.37823076;0.292251004;;;;-3.503;6.865;1.78;;;;;1.771812705;4.733759526;9.852733772;2.035586749;-1.249260971;5.535616319;-2.578486835;6.216965143;-3.322796588;7.089147503;2.303459633;4.337371752;5.029767866;2.447823997;-2.133465351;;-2.663831396;6.156763396;-3.331093652;7.104245686;-2.935946987;6.517914125
20;1728945248;e39fd70b-7fce-11ef-fe72-006a4c3bcbce;3;-62;-82;-66;-63;2.84533782;-1.89005235;0.531078796;-1.510062539;0.134882243;0.161820559;0.564732497;0.347686333;;;;-3.503;6.865;1.78;;;;;1.975093332;10.83723329;2.806093919;2.035586749;-2.99737172;6.87796996;-3.150651439;6.853824174;-3.348061452;7.351661185;2.215030113;6.016708772;2.886773309;2.309578093;-2.649672303;;-3.098991324;6.805172186;-3.346730479;7.32425643;-3.189273818;6.999811737
21;1728945249;c3826b66-129c-dc90-d5c2-dc2ad01408cb;5;-64;-70;-66;-60;2.8380349;-1.887988799;0.56641708;-1.470845627;0.078027707;0.151332098;0.81590494;0.295202785;;;;-3.503;6.865;1.78;;;;;2.454297729;4.01110237;2.806093919;1.598801365;-3.186323551;6.15929664;-3.204757262;6.439602401;-3.242830601;7.221210764;2.752538208;5.418393188;3.041264789;1.566894648;-3.045219783;;-3.208140173;6.493316376;-3.253881979;7.241674969;-3.225355594;6.793442449
22;1728945250;197aa820-56db-7658-6bad-7351656e2e1e;36;-70;-78;-73;-67;2.826622722;-1.883625077;0.511661156;-1.480201579;0.114860332;0.168268488;0.776819922;0.23018705;;;;-3.503;6.865;1.78;;;;;4.709188918;7.780966226;5.042520321;2.808987166;-3.851815665;5.522825333;-3.40588276;6.196765982;-3.258398976;7.328451796;3.668978596;5.179282755;2.979270572;0.952388296;-3.644702239;;-3.400849148;6.216739355;-3.253333968;7.32013196;-3.34252293;6.652552261
23;1728945251;bb8e1772-3c38-cb6f-5b5d-88a83dfdd2c3;28;-68;-86;-73;-65;2.813396399;-1.835586311;0.497754395;-1.497834901;0.079269098;0.148634532;0.793319736;0.292280199;;;;-3.503;6.865;1.78;;;;;3.789714477;15.09396416;5.042520321;2.391220829;-3.854527205;5.600452649;-3.347282731;6.257956277;-3.256173056;7.851719785;3.622914124;5.24563916;2.91741115;1.026465069;-3.919985862;;-3.362989798;6.24297535;-3.253844577;7.804548424;-3.322873288;6.852814284
24;1728945252;5c1bf70e-8ffd-8792-f4c5-40e7b19ef4b9;20;-69;-79;-83;-69;2.818603411;-1.874439834;0.512606845;-1.484697128;0.049004216;0.137447317;0.850538484;0.409883029;;;;-3.503;6.865;1.78;;;;;4.224509607;8.452880966;11.64887596;3.299740787;-2.368257724;5.231423903;-2.866418134;5.962156108;-3.261129333;7.411911988;2.934701646;4.254836302;4.248538925;1.302437823;-3.073160651;;-2.905514155;5.978324592;-3.259553622;7.4782235;-3.050391896;6.565697763
25;1728945253;02e75ac6-7236-2f2b-0360-5b53a1daed02;4;-67;-71;-69;-62;2.809844807;-1.969160218;0.424803222;-1.461670904;0.078440913;0.158251174;0.568224567;0.322144088;;;;-3.503;6.865;1.78;;;;;3.399669347;4.357475652;3.607390121;1.878125374;-2.880998932;5.463058813;-3.100014884;6.083645446;-3.289886209;6.802482769;3.02254167;4.658157007;3.704228767;1.052530035;-2.908063652;;-3.068542645;6.063425654;-3.286879104;6.862513386;-3.149594136;6.370629286
26;1728945254;14a67071-cf5e-4e60-52c3-e86e1968448f;16;-59;-69;-74;-63;2.844656584;-1.913696427;0.371613237;-1.467087108;0.124345904;0.17619294;0.50063993;0.266065622;;;;-3.503;6.865;1.78;;;;;1.425864278;3.692262105;5.482912226;2.035586749;-1.370952533;5.492315172;-2.521514458;6.344738479;-3.246026561;7.208668458;2.36278624;4.303210729;4.942465059;2.318754275;-1.891824808;;-2.560147522;6.322718786;-3.251441891;7.139221735;-2.835626039;6.639076974
27;1728945255;184af2bc-cc81-a7e8-765b-6a00bb0e17a5;19;-64;-78;-75;-63;2.799869138;-1.922413486;0.390836733;-1.467287112;0.078610398;0.177131039;0.447862569;0.217041204;;;;-3.503;6.865;1.78;;;;;2.454297729;7.780966226;5.961766054;2.035586749;-1.827693882;5.69870091;-2.658930748;6.333155714;-3.258342124;7.104684231;2.283533867;4.570130469;4.44270137;2.004575484;-1.673431924;;-2.630493242;6.342384354;-3.256380572;7.10739999;-2.871314435;6.643204246
28;1728945256;2bf676a6-5817-073b-e738-465bfd94452a;9;-62;-75;-62;-61;2.823767813;-1.939365971;0.329403732;-1.43172166;0.062573159;0.204914417;0.367881317;0.204562081;;;;-3.503;6.865;1.78;;;;;1.975093332;6.069038062;2.007463498;1.732844312;-3.046343244;6.518451763;-3.123862325;6.756261227;-3.196726146;6.991166429;2.432093214;5.696550822;2.982413759;1.948648154;-2.395043781;;-3.082334443;6.731578569;-3.202207224;7.000414254;-3.122046303;6.833141262
29;1728945257;3f2f41dc-e390-77d8-fa85-1338553f3d53;31;-69;-77;-74;-63;2.838604284;-1.882329183;0.333273838;-1.419544223;0.085941906;0.163234348;0.398135159;0.183840507;;;;-3.503;6.865;1.78;;;;;4.224509607;7.16246161;5.482912226;2.035586749;-3.252697797;4.977273774;-3.100362547;5.951651893;-3.085676462;7.329676871;3.634108419;4.397988994;3.781848161;0.440860412;-2.952018467;;-3.115217337;6.02590787;-3.093880503;7.291078968;-3.108384232;6.53290029
30;1728945258;a44154c7-0f75-244c-ef2e-3fd06f981cd0;25;-80;-77;-75;-70;2.78784177;-1.802490276;0.292276603;-1.414001519;0.116807644;0.16717571;0.383006274;0.138199418;;;;-3.503;6.865;1.78;;;;;13.95224926;7.16246161;5.961766054;3.576389901;-6.666574032;3.557202693;-3.642331198;6.760511418;-2.86614143;8.01604775;7.097946594;6.14423688;4.392661287;3.321265897;-5.3762989;;-3.612674617;6.686235359;-2.880946647;7.958741336;-3.321957835;7.175472779
31;1728945259;629417c1-277d-91e4-963c-70fb6210b205;31;-68;-84;-79;-64;2.88344446;-1.754904781;0.314816534;-1.426859794;0.129230275;0.124878403;0.44940111;0.182705301;;;;-3.503;6.865;1.78;;;;;3.789714477;12.78971504;8.333539059;2.206249631;-2.891597666;5.103048913;-2.84222019;6.121022777;-2.729166523;8.722901834;3.317544337;4.336249983;3.937852082;0.789551315;-4.222673424;;-2.921617734;6.179873737;-2.72909119;8.690922715;-2.858177686;7.171335514
