numObj,x,y,z,velocity,numObj_static,x_static,y_static,z_static,velocity_static,timestamp
0,"[]","[]","[]","[]",6,"[-0.0589794, -0.0596558, -0.413831, -0.30254, -0.456781, -0]","[0.0899548, 0.0707165, 0.421401, 0.062228, 0.0464036, -0]","[0.0381937, -0.0843408, -0.239477, 0, 0.153979, -0]","[0, 0, 0, 0, 0, 0]",24/11/2025 20:27:58
0,"[]","[]","[]","[]",7,"[-0.168143, -0.0589794, -0.0596558, -0.413831, -0.30254, -0.476058, 0.149923]","[-1.00303, 0.0899548, 0.0707165, 0.421401, 0.062228, 0.0421769, 0.0287088]","[0.708928, 0.0381937, -0.0843408, -0.239477, 0, 0.0781143, 0.0890875]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:27:59
11,"[0.807718, 1.06281, 1.08736, 0.894906, 1.07051, 1.10036, 0.91948, 0.828329, 1.06954, 1.0966, 0.90374]","[2.30853, 2.29534, 2.3591, 2.50641, 2.29534, 2.3591, 2.50641, 2.30853, 2.29534, 2.3591, 2.50641]","[0.286103, 0.129904, 0.169313, 0.254313, -0.0208913, 0.0150486, 0.141732, 0.219395, 0.0502585, 0.0920538, 0.220876]","[0, 0, 0, 0, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]",7,"[-0.168143, -0.0589794, -0.0596558, -0.439443, -0.30254, -0.456781, -0]","[-1.00303, 0.0899548, 0.0707165, 0.432149, 0.062228, 0.0464036, -0]","[0.708928, 0.0381937, -0.0843408, -0.162239, 0, 0.153979, -0]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:28:00
2,"[0.846833, 0.880753]","[2.30853, 2.37449]","[0.130909, 0.0330936]","[0.147187, 0.147187]",6,"[-0.168143, -0.0589794, -0.0596558, -0.30254, -0.456781, -0]","[-1.00303, 0.0899548, 0.0707165, 0.062228, 0.0464036, -0]","[0.708928, 0.0381937, -0.0843408, 0, 0.153979, -0]","[0, 0, 0, 0, 0, 0]",24/11/2025 20:28:01
4,"[0.861146, 0.855471, 0.87891, 0.89071]","[2.37449, 2.30853, 2.37449, 2.44045]","[0.187748, 0.0493215, 0.0658635, 0.164962]","[0, -0.147187, -0.147187, -0.147187]",6,"[-0.168143, -0.0589794, -0.413831, -0.30254, -0.476058, -0]","[-1.00303, 0.0899548, 0.421401, 0.062228, 0.0421769, -0]","[0.708928, 0.0381937, -0.239477, 0, 0.0781143, -0]","[0, 0, 0, 0, 0, 0]",24/11/2025 20:28:02
0,"[]","[]","[]","[]",6,"[-0.168143, -0.0589794, -0.0596558, -0.30254, -0.456781, -0]","[-1.00303, 0.0899548, 0.0707165, 0.062228, 0.0464036, -0]","[0.708928, 0.0381937, -0.0843408, 0, 0.153979, -0]","[0, 0, 0, 0, 0, 0]",24/11/2025 20:28:03
5,"[0.892948, 0.56249, 0.770106, 0.858433, 0.467929]","[2.44045, 2.58996, 2.30853, 2.44045, 2.58996]","[0.152382, 0.351214, 0.375767, 0.289258, 0.469881]","[0, 0, 0.147187, 0.147187, 0.147187]",7,"[-0.168143, -0.0589794, -0.0596558, -0.413831, -0.30254, -0.476058, -0]","[-1.00303, 0.0899548, 0.0707165, 0.421401, 0.062228, 0.0421769, -0]","[0.708928, 0.0381937, -0.0843408, -0.239477, 0, 0.0781143, -0]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:28:04
9,"[0.883478, 0.93174, 0.502264, 0.926515, 0.954681, 0.872222, 0.906739, 0.942841, 0.978829]","[2.50641, 2.57237, 2.58996, 2.50641, 2.57237, 2.44045, 2.50641, 2.57237, 2.63833]","[0.291546, 0.208679, 0.432986, 0.0842717, -0.0164482, 0.244552, 0.208222, 0.150785, 0.0305213]","[0, 0, 0.147187, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]",7,"[-0.168143, -0.0589794, -0.0596558, -0.439443, -0.30254, -0.476058, -0]","[-1.00303, 0.0899548, 0.0707165, 0.432149, 0.062228, 0.0421769, -0]","[0.708928, 0.0381937, -0.0843408, -0.162239, 0, 0.0781143, -0]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:28:05
8,"[0.862947, 0.865039, 0.842458, 0.90157, 0.909953, 0.865964, 1.09063, 0.885944]","[2.37449, 2.44045, 2.50641, 2.44045, 2.50641, 2.37449, 2.3591, 2.50641]","[0.179286, 0.268857, 0.39471, 0.0880215, 0.193696, 0.164093, 0.146789, 0.283962]","[0, 0, 0, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187]",7,"[-0.168143, -0.0589794, -0.0596558, -0.439443, -0.30254, -0.456781, -0]","[-1.00303, 0.0899548, 0.0707165, 0.432149, 0.062228, 0.0464036, -0]","[0.708928, 0.0381937, -0.0843408, -0.162239, 0, 0.153979, -0]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:28:06
3,"[0.441407, 0.517958, 0.821764]","[2.45364, 2.5218, 2.30853]","[0.447029, 0.38552, 0.24283]","[0.147187, 0.147187, -0.147187]",6,"[-0.168143, -0.0589794, -0.524004, -0.30254, -0.476058, -0]","[-1.00303, 0.0899548, 0.543027, 0.062228, 0.0421769, -0]","[0.708928, 0.0381937, -0.0977935, 0, 0.0781143, -0]","[0, 0, 0, 0, 0, 0]",24/11/2025 20:28:07
2,"[0.788391, 0.903452]","[2.50641, 2.50641]","[0.493935, 0.22205]","[0.147187, -0.147187]",7,"[-0.168143, -0.0589794, -0.0596558, -0.439443, -0.298677, -0.476058, -0]","[-1.00303, 0.0899548, 0.0707165, 0.432149, 0.062702, 0.0421769, -0]","[0.708928, 0.0381937, -0.0843408, -0.162239, 0.0475768, 0.0781143, -0]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:28:09
